image,ground_truth,prediction,CER_score
test028_2.jpg,L 1436 AAA,L 1436 AAA,0.0
test029_1.jpg,W 1518 WF,M 1516 MTC,0.7143
test029_2.jpg,G 1986 N,1986 N,0.1667
test029_3.jpg,L 1588 OO,L 1588,0.2857
test029_4.jpg,L 1436 AAA,L 1436,0.375
test030_1.jpg,S 8062 NF,8062 NF,0.1429
test030_2.jpg,G 1894 TE,1894 TE,0.1429
test031_1.jpg,L 1560 JQ,1560 JJ,0.2857
test031_2.jpg,L 1568 QO,L 1568,0.2857
test031_3.jpg,L 1932 AAZ,L 1932 AMZ,0.125
test032_1.jpg,B 2754 SKY,2754 SKY,0.125
test032_2.jpg,W 1192 K,1192,0.3333
test033_1.jpg,L 4561 VK,L 4561 VK,0.0
test033_2.jpg,L 2693 GA,12693 CA,0.2857
test033_3.jpg,W 9847 G,08,0.8333
test033_4.jpg,L 1762 ABJ,1762 ABJ,0.125
test034_1.jpg,L 1811 SU,L 1811 SU,0.0
test034_2.jpg,W 1167 VO,1167,0.4286
test034_3.jpg,S 6131 OCF,6131 OCF,0.125
test034_4.jpg,L 2570 AAD,L 2570 AAD,0.0
test035_1.jpg,L 9643 NN,L 9643 NN,0.0
test035_2.jpg,L 5247 GI,1,1.0
test035_3.jpg,L 2498 AAM,L 2490 AAM,0.125
test035_4.jpg,W 1696 YO,W 1696 YO,0.0
test036_1.jpg,B 1231 JJA,1231 JJA,0.125
test036_2.jpg,B 1618 UAE,08,0.875
test037_1.jpg,L 1775 VO,1775,0.4286
test037_2.jpg,L 300 RX,300 RRX,0.3333
test037_3.jpg,L 1879 VG,1879 VIC,0.4286
test038_1.jpg,D 1523 YCN,D 1523 YCN,0.0
test038_2.jpg,L 1877 ACU,L 1877,0.375
test039_1.jpg,L 1069 VK,1069 VK,0.1429
test040_1.jpg,S 1595 LL,1595LL,0.1429
test041_1.jpg,B 1231 JJA,1231 JJA,0.125
test042_1.jpg,AD 1174 SF,1174 SF,0.25
test043_1.jpg,W 1898 YW,W 1898 YH,0.1429
test043_2.jpg,W 1470 PG,02,0.8571
test044_1.jpg,L 1930 KF,L 1930 KF,0.0
test044_2.jpg,N 1004 HE,N 1004 HE,0.0
test045_1.jpg,S 1347 LJ,S 1347 LJ,0.0
test046_1.jpg,L 1470 ABK,L 1470 ABK,0.0
test046_2.jpg,L 1265 MX,L 1265 MX,0.0
test047_1.jpg,N 1524 SY,N 1524 SY,0.0
test047_2.jpg,L 1678 ACE,1678 ACE,0.125
test048_1.jpg,L 9316 BC,9316 BC,0.1429
test048_2.jpg,W 1838 AY,N 1838 AY,0.1429
test049_1.jpg,N 1376 DE,10,0.8571
test049_2.jpg,N 79 AP,N 79 AP,0.0
test050_1.jpg,L 1265 OF,1265,0.4286
test050_2.jpg,N 1095 G,1095 G,0.1667
test051_1.jpg,N 1718 HC,N 1718 HC,0.0
test052_1.jpg,N 6497 KS,N 6297 KS,0.1429
test052_2.jpg,N 5235 ABX,N 5235 ABX,0.0
test052_3.jpg,N 4980 KJ,N 4980 KJ,0.0
test053_1.jpg,N 1365 AAO,1365 AAD,0.25
test054_1.jpg,N 1077 AAK,N 1077 AAK,0.0
test054_2.jpg,N 1084 AAO,N 1084 AAO,0.0
test055_1.jpg,N 1610 KS,N 1610 KS,0.0
test056_1.jpg,N 924 CIA,924,0.5714
test056_2.jpg,N 1623 HB,1623 HB,0.1429
test056_3.jpg,L 1430 HF,L 1430 HF,0.0
test057_1.jpg,N 1342 T,1342IT,0.3333
test057_2.jpg,N 4145 AB,N 415 AB,0.1429
test057_3.jpg,N 1396 AAH,N 1396 AAH,0.0
test058_1.jpg,N 3153 ACB,N 3153 ACB,0.0
test058_2.jpg,N 5829 KJ,5029 KJI,0.4286
test058_3.jpg,N 1780 JL,N 1780 JL,0.0
test059_1.jpg,W 8774 PA,A CLOSE UP OF A LICENSE PLATE SHOWING THE STATE OF PA,5.5714
test059_2.jpg,B 9162 FXU,B 9162 FXU,0.0
test060_1.jpg,L 1846 JE,1846 JE,0.1429
test060_2.jpg,M 1457 ITA,M 1457 ITA,0.0
test061_1.jpg,AA 1971 KJ,AA 1971 KJ,0.0
test061_2.jpg,BD 1146 DH,BD 1146 DH,0.0
test062_1.jpg,B 9654 PEU,B 9654 PEU,0.0
test062_2.jpg,AE 7244 S,AE7244S,0.0
test063_1.jpg,S 1208 BI,S 1208 BI,0.0
test064_1.jpg,AE 8137 G,AE 8137 G,0.0
test065_1.jpg,H 1706 SW,1706 SW,0.1429
test066_1.jpg,T 1220 HS,1220 HS,0.1429
test066_2.jpg,H 1790 ZY,H 1790 ZY,0.0
test067_1.jpg,L 1855 BR,1855 BR,0.1429
test067_2.jpg,AB 1274 EV,1274 EV,0.25
test068_1.jpg,B 2310 UZS,B 2310 UZS,0.0
test068_2.jpg,G 1264 CM,02,0.8571
test069_1.jpg,AA 1138 AK,AA 1138 AK,0.0
test070_1.jpg,B 2160 TOB,B 2160 TOB,0.0
test070_2.jpg,B 2597 BYK,2597 BYK,0.125
test071_1.jpg,G 9545 AG,9545 AG,0.1429
test072_1.jpg,BG 1870 IB,BC 1870 IB,0.125
test073_1.jpg,T 1187 HB,1187 HB,0.1429
test073_2.jpg,A 1330 FP,1330 FP,0.1429
test074_1.jpg,G 1368 GE,1368 GE,0.1429
test074_2.jpg,B 1081 CMR,10,0.75
test075_1.jpg,G 2474 XZ,G 2214,0.5714
test075_2.jpg,G 9173 BP,69173 BP,0.1429
test075_3.jpg,7066 OF,1234567890,1.5
test076_1.jpg,G 2151 ASF,G 215T ASF,0.125
test076_2.jpg,E 500 MA,E 50 MA,0.1667
test076_3.jpg,G 4689 SN,G4609 SN,0.1429
test077_1.jpg,G 1754 QZ,1754,0.4286
test078_1.jpg,H 1413 DH,H 1413 DH,0.0
test079_1.jpg,T 1688 GY,1688 GY,0.1429
test079_2.jpg,A 1260 AJ,1260 AJ,0.1429
test080_1.jpg,D 77 HSB,77 HSB,0.1667
test080_2.jpg,B 1861 TOI,B 166 I,0.5
test080_3.jpg,D 1160 ADE,D 1160 ADE,0.0
test081_1.jpg,F 8097 BD,8097 BD,0.1429
test081_2.jpg,F 1992 AM,F 1992 AM,0.0
test082_1.jpg,E 1824 YZ,1824 YZ,0.1429
test082_2.jpg,B 9093 UEX,B 9093 OEX,0.125
test083_1.jpg,F 5052 AAE,5052AE,0.25
test083_2.jpg,F 5452 CQ,F 5452,0.2857
test084_1.jpg,B 1158 PYP,8,0.875
test084_2.jpg,B 1242 VOY,B 1242 VOY,0.0
test085_1.jpg,B 1315 KIF,1315 KIF,0.125
test085_2.jpg,B 2938 FVJ,B2938 FVJ,0.0
test085_3.jpg,B 2560 SKZ,2560 SKZ,0.125
test086_1.jpg,B 1291 NOJ,B1291 NOU,0.125
test086_2.jpg,B 1556 NRC,B 1556 NRC,0.0
test087_1.jpg,B 6823 WXR,B6823 WXR,0.0
test087_2.jpg,B 6317 NXK,6317,0.5
test087_3.jpg,F 2215 FCQ,F 2215,0.375
test087_4.jpg,4039 NHR,4039 NHR,0.0
test088_1.jpg,B 2190 TYB,2190 TYB,0.125
test088_2.jpg,B 1902 VKA,B 1902 VKA,0.0
test089_1.jpg,D 8609 N,8609,0.3333
test089_2.jpg,A 8406 ZE,A8406ZE,0.0
test089_3.jpg,B 1246 KRK,1246 KRK,0.125
test090_1.jpg,T 9314 E,9314,0.3333
test090_2.jpg,N 9579 U,N 0579 U,0.1667
test091_1.jpg,B 2910 KZW,B2910 KZW,0.0
test091_2.jpg,B 9721 KXV,B 0128 KXU,0.5
test092_1.jpg,B 1104 AAA,A BLACK LICENSE PLATE WITH WHITE LETTERS AND NUMBERS,5.125
test092_2.jpg,T 1579 FN,1579 FN,0.1429
test092_3.jpg,B 2346 POC,2346 POC,0.125
test093_1.jpg,B 2026 BIU,IB 2026 BU,0.25
test094_1.jpg,G 1255 EJ,G 1255 EJ,0.0
test095_1.jpg,B 1201 KAD,B 1201 KAD,0.0
test095_2.jpg,B 2310 JUK,B 2310 JUK,0.0
test095_3.jpg,B 28 YHH,B 28 YHH,0.0
test096_1.jpg,B 1354 COJ,B 1354 COJ,0.0
test096_2.jpg,B 1502 NRO,B 1502,0.375
test097_1.jpg,B 1650 NOG,1650 NOG,0.125
test097_2.jpg,B 6354 SVL,0225,0.875
test098_1.jpg,B 1779 DOB,B 1779 DOB,0.0
test099_1.jpg,B 2017 PBQ,B 2017 PBO,0.125
test099_2.jpg,B 1892 WZT,1892 WZT,0.125
test100_1.jpg,B 1071 PRG,B 1071 PRG,0.0
test100_2.jpg,B 2134 PZJ,82134,0.5
